pl_name disc_facility tic_id pl_rade pl_bmasse pl_orbper pl_eqt pl_dens pl_trandep pl_trandur sy_jmag sy_tmag st_teff st_rad
"TOI-1685 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 28900646" 1.469 "" 0.669174 964.69068 "" 0.099833 0.912603 9.616 11.1117 3457.0 0.46
"TOI-1260 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 355867695" 2.401 "" 3.12716 813.064209 "" 0.121652 1.999721 9.698 10.8116 4225.0 0.69
"TOI-1260 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 355867695" 2.34 8.6 3.12748 860.0 3.69 "" 1.963 9.698 10.8116 4227.0 0.65
"TOI-1260 c" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 355867695" 2.676 "" 7.491237 607.654907 "" 0.154143 2.099449 9.698 10.8116 4225.0 0.69
"TOI-1260 c" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 355867695" 2.82 11.8 7.49325 643.0 2.87 "" 1.96 9.698 10.8116 4227.0 0.65
"TOI-1634 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 201186294" 1.749 10.14 0.9893436 920.0 10.4 "" "" 9.484 11.0136 3472.0 0.45
"TOI-1634 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 201186294" 1.83 "" 0.98933 848.009888 "" 0.151967 1.035761 9.484 11.0136 3455.0 0.47
"TOI-1634 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 201186294" 1.79 4.91 0.989343 924.0 4.7 0.1323 1.027 9.484 11.0136 3550.0 0.45
"K2-180 b" K2 "TIC 366411016" 2.31 "" 8.867209 731.0 "" "" "" 11.146 11.8964 5358.0 0.72
"K2-180 b" K2 "TIC 366411016" 2.242 11.44182 8.8665 729.0 5.6 0.12 2.98 11.146 11.8964 5110.0 0.69
"K2-146 b" K2 "TIC 175261852" 2.15 "" 2.644661 534.0 "" "" "" 12.183 13.7247 3398.0 0.33
"K2-13 b" K2 "TIC 363479723" 1.89 "" 39.91488 511.0 "" 0.058 "" 11.571 12.2692 5698.0 0.78
"K2-7 b" K2 "TIC 53210555" 2.67 "" 28.67992 651.0 "" "" "" 11.952 12.6109 5772.0 0.96
"HD 3167 c" K2 "TIC 318707987" 2.85 "" 29.8454 500.0 "" "" 4.81 7.548 8.2491 5370.0 0.83
"HD 3167 c" K2 "TIC 318707987" 2.86 "" 29.83832 531.0 "" "" "" 7.548 8.2491 5528.0 0.87
"HD 3167 c" K2 "TIC 318707987" 2.74 8.33 29.84622 548.0 2.21 "" 4.81 7.548 8.2491 5286.0 0.83
"GJ 9827 c" K2 "TIC 301289516" 1.269 2.42 3.648083 811.0 6.4 0.0361 1.8264 7.984 9.0684 4269.0 0.61
"GJ 9827 c" K2 "TIC 301289516" 1.36 "" 3.64802 721.9 "" "" 2.19 7.984 9.0684 4255.0 0.65
"GJ 9827 c" K2 "TIC 301289516" 1.24 1.45 3.64823 771.0 4.13 "" 1.825 7.984 9.0684 4219.0 0.62
"GJ 9827 d" K2 "TIC 301289516" 2.07 5.2 6.201467 680.0 3.23 0.0957 1.2264 7.984 9.0684 4269.0 0.61
"GJ 9827 d" K2 "TIC 301289516" 2.1 "" 6.20141 604.9 "" "" 1.6 7.984 9.0684 4255.0 0.65
"GJ 9827 d" K2 "TIC 301289516" 2.04 2.35 6.20142 646.0 1.51 "" 1.248 7.984 9.0684 4219.0 0.62
"Kepler-296 b" Kepler "TIC 243271945" 2.15 "" "" 495.0 3.0 "" "" 13.391 14.9169 3821.0 0.59
"Kepler-296 f" Kepler "TIC 243271945" 2.08 "" "" 274.0 3.2 "" "" 13.391 14.9169 3821.0 0.59
"Kepler-49 b" Kepler "TIC 137555411" 2.18 "" 7.20349407 495.0 "" "" "" 13.184 14.3807 3816.0 0.51
"Kepler-120 c" Kepler "TIC 121458707" 1.62 "" 12.79397011 455.0 "" "" "" 13.019 14.0065 4096.0 0.57
"Kepler-114 c" Kepler "TIC 27011135" 1.36 "" 8.04144001 508.0 "" "" "" 12.035 13.0237 3983.0 0.54
"Kepler-236 c" Kepler "TIC 120044687" 1.84 "" 23.97159958 325.0 "" "" "" 13.224 14.3966 3750.0 0.51
"Kepler-80 b" Kepler "TIC 184296619" 2.1 "" 7.05347776 546.0 "" "" "" 12.954 14.0239 4040.0 0.57
"Kepler-83 b" Kepler "TIC 123416515" 2.34 "" 9.77058983 460.0 "" "" "" 13.737 14.9557 3893.0 0.52
"Kepler-252 c" Kepler "TIC 271769940" 2.4 "" 10.84846973 501.0 "" "" "" 13.24 14.2831 4208.0 0.59
"Kepler-225 c" Kepler "TIC 63203294" 1.74 "" 18.79523087 330.0 "" "" "" 14.032 15.1467 3682.0 0.44
"Kepler-28 c" Kepler "TIC 63122956" 1.73 "" 8.98596954 507.0 "" "" "" 13.334 14.3281 4072.0 0.57
"Kepler-81 c" Kepler "TIC 270611154" 1.75 "" 12.03956985 428.0 "" "" "" 13.168 14.2491 3896.0 0.52
"Kepler-52 b" Kepler "TIC 399825554" 1.93 "" 7.87761021 499.0 "" "" "" 13.153 14.2572 3898.0 0.54
"Kepler-42 b" Kepler "TIC 63126862" 0.92 "" 1.21377206 526.0 "" "" "" 12.177 13.7435 3203.0 0.16
"Kepler-283 b" Kepler "TIC 270695184" 3.44 "" 11.00823021 651.0 "" "" "" 13.927 15.0899 5189.0 0.72
"Kepler-128 c" Kepler "TIC 123490545" 1.21 "" 7.126 845.0 "" "" "" 10.373 10.9149 6072.0 1.66
"Kepler-430 b" Kepler "TIC 26748113" 3.25 "" 35.968 667.0 "" "" "" 12.743 13.3844 5884.0 1.49
"TRAPPIST-1 f" "Multiple Observatories" "TIC 278892590" 1.045 0.68 9.20669 219.0 3.3 0.673 1.043 11.354 13.8529 2559.0 0.12
"TRAPPIST-1 h" "Multiple Observatories" "TIC 278892590" 0.752 "" 18.767 173.0 "" 0.346 1.26 11.354 13.8529 "" 0.11
"GJ 1132 b" "Cerro Tololo Inter-American Observatory" "TIC 101955023" 1.13 1.66 1.628931 529.0 6.3 "" "" 9.245 10.8372 3270.0 0.21
"K2-254 b" K2 "TIC 147683165" 1.63 "" 4.09639 791.0 "" "" "" 11.986 13.018 4629.0 0.67
"K2-158 c" K2 "TIC 35021200" 1.28 "" 5.90279 948.0 "" 0.015 4.9992 10.432 11.1171 5423.0 0.95
"Kepler-235 e" Kepler "TIC 120765183" 2.007 "" 46.18406 306.0 "" 0.1619 4.484 13.952 15.1339 3996.0 0.49
"K2-266 c" K2 "TIC 374180079" 0.705 0.29013 7.814 664.5 4.51 0.0085 2.256 9.611 10.6269 4285.0 0.7
"K2-123 b" K2 "TIC 197249801" 2.76 "" 30.951524 338.0 "" "" "" 11.907 13.1214 4035.0 0.59
"K2-126 b" K2 "TIC 422349422" 1.97 "" 7.385655 601.0 "" "" "" 10.508 11.6297 4339.0 0.65
"K2-28 b" K2 "TIC 39926974" 2.56 "" 2.2604455 420.0 "" 0.664 0.9816 11.695 13.3455 3214.0 0.29
"Kepler-107 e" Kepler "TIC 27988327" 2.903 8.6 14.749143 955.0 2.0 "" 6.117 11.392 12.0146 5854.0 1.45
"EPIC 212737443 c" K2 "TIC 670036" 2.69 "" 65.55 316.0 "" 0.11 4.608 12.824 13.803 4684.0 0.67
"TOI-270 d" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 259377017" 2.13 "" 11.38014 340.0 "" 0.2645 2.148 9.099 10.4981 3386.0 0.38
"LHS 3844 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 410153553" 1.303 "" 0.46292913 805.0 "" "" 0.5212 10.046 11.9238 3036.0 0.19
"Kepler-30 b" Kepler "TIC 399794329" 1.37 "" 29.1647 544.0 "" 0.02 4.6609 13.997 14.8024 5461.0 0.94
"Kepler-236 b" Kepler "TIC 120044687" 1.96 "" 8.29561 504.0 "" 0.0903 1.404 13.224 14.3966 4055.0 0.52
"Kepler-237 b" Kepler "TIC 258348597" 1.58 "" 4.714974 794.0 "" 0.0385 2.4914 13.749 14.6368 4833.0 0.68
"Kepler-238 c" Kepler "TIC 121460918" 1.7 "" 6.155541 931.0 "" 0.0298 4.9525 13.894 14.538 5779.0 0.9
"Kepler-107 d" Kepler "TIC 27988327" 1.08 "" 7.95792 991.0 "" 0.0052 4.2797 11.392 12.0146 5949.0 1.18
"Kepler-243 b" Kepler "TIC 164886497" 2.06 "" 5.71543 791.0 "" 0.0892 2.5421 13.622 14.4611 5115.0 0.71
"Kepler-108 b" Kepler "TIC 271164755" 3.9 "" 49.18431 480.0 "" 0.159 11.4739 11.43 12.5955 5632.0 0.94
"Kepler-711 b" Kepler "TIC 273234664" 3.0 "" 23.58906 480.0 "" 0.1176 4.879 13.697 14.6716 4922.0 0.7
"Kepler-250 b" Kepler "TIC 159098652" 0.99 "" 4.14787 912.0 "" 0.0169 2.3997 14.0 14.83 5099.0 0.76
"Kepler-728 b" Kepler "TIC 159580427" 3.2 "" 5.743491 982.0 "" 0.112 3.5347 14.384 15.0215 5894.0 0.9
"Kepler-264 c" Kepler "TIC 137347078" 3.74 "" 140.0914 560.0 "" 0.0182 18.3036 11.918 12.5578 6235.0 2.43
"Kepler-776 b" Kepler "TIC 121114760" 1.5 "" 4.897134 841.0 "" 0.0326 2.0102 13.874 14.7883 5023.0 0.73
"Kepler-270 c" Kepler "TIC 123417308" 1.59 "" 25.2629 760.0 "" 0.0119 5.2384 12.938 13.4626 6419.0 1.28
"Kepler-112 b" Kepler "TIC 272943597" 3.5 "" 8.408916 980.0 "" 0.0805 3.5964 12.583 13.2739 5822.0 1.15
"Kepler-273 c" Kepler "TIC 159726559" 1.63 "" 8.014957 860.0 "" 0.0332 3.2333 13.682 14.4498 5682.0 0.9
"Kepler-79 c" Kepler "TIC 239306681" 3.1 "" 27.4022 685.0 "" 0.0776 6.8189 12.913 13.4763 6405.0 1.1
"Kepler-786 b" Kepler "TIC 138366498" 2.26 "" 53.52939 346.0 "" 0.1033 5.6805 13.341 14.2824 4742.0 0.69
"Kepler-79 b" Kepler "TIC 239306681" 2.94 "" 13.48458 868.0 "" 0.0678 5.0353 12.913 13.4763 6405.0 1.1
"Kepler-788 b" Kepler "TIC 122224871" 2.03 "" 8.39811 990.0 "" 0.0302 6.2242 14.193 14.8127 6317.0 1.06
"Kepler-790 b" Kepler "TIC 121020728" 2.6 "" 13.73468 645.0 "" 0.0858 2.4329 13.784 14.6128 5222.0 0.81
"Kepler-113 c" Kepler "TIC 298834019" 2.47 "" 8.925113 627.0 "" 0.0977 2.7667 11.886 12.8077 4725.0 0.69
"Kepler-290 c" Kepler "TIC 158218214" 2.53 "" 36.77019 422.0 "" 0.1381 4.3302 14.054 14.9548 5115.0 0.7
"Kepler-295 d" Kepler "TIC 164890864" 1.72 "" 33.88489 541.0 "" 0.0212 6.5113 13.145 13.905 5631.0 0.94
"Kepler-279 b" Kepler "TIC 158428960" 2.47 "" 12.3097136 941.0 "" 0.03791 6.289 12.724 13.2412 6781.0 1.07
"Kepler-58 c" Kepler "TIC 184471242" 2.93 "" 15.57363551 799.0 "" 0.05001 4.824 13.643 14.3672 6100.0 1.08
"Kepler-838 b" Kepler "TIC 351909828" 2.85 "" 15.74957994 774.0 "" 0.07094 4.6942 14.186 14.7772 6178.0 1.02
"Kepler-299 c" Kepler "TIC 48304460" 1.98 "" 6.88595559 933.0 "" 0.04233 3.575 13.875 14.5326 5896.0 0.92
"Kepler-316 b" Kepler "TIC 159522175" 1.19 "" 2.24048639 815.0 "" 0.04897 1.46 13.324 14.4142 4132.0 0.55
"Kepler-377 c" Kepler "TIC 184015535" 2.0 "" 27.0142622 677.0 "" 0.02876 5.385 12.801 13.4007 5949.0 1.18
"Kepler-378 c" Kepler "TIC 271354634" 0.79 "" 28.9060526 414.0 "" 0.0099 3.099 10.846 11.7943 4657.0 0.67
"Kepler-1683 b" Kepler "TIC 274126997" 1.7 "" 15.03366411 669.0 "" 0.03749 3.272 13.475 14.2801 5523.0 0.89
"Kepler-1180 b" Kepler "TIC 271966200" 1.71 "" 16.8600805 765.0 "" 0.02734 5.557 13.887 14.5287 6205.0 0.97
"Kepler-1184 b" Kepler "TIC 159725400" 2.49 "" 53.5991459 529.0 "" 0.05231 6.811 13.866 14.498 6319.0 1.03
"Kepler-505 b" Kepler "TIC 158631520" 2.47 "" 27.52194772 314.0 "" 0.23128 4.047 12.912 14.1451 3780.0 0.51
"Kepler-445 b" Kepler "TIC 268060194" 1.41 "" 2.98415347 426.0 "" 0.5191 1.278 13.542 15.3315 3327.0 0.19
"Kepler-1661 b" Kepler "TIC 164886585" 3.87 17.0 175.06 243.0 1.6 "" "" 12.729 13.5804 5100.0 0.76
"Kepler-1649 c" Kepler "TIC 137558813" 1.06 "" 19.53527 234.0 "" "" 1.07 13.379 14.9673 3240.0 0.23
"Kepler-378 b" Kepler "TIC 271354634" 0.7 "" 16.09234 501.0 "" 0.0124 1.91 10.846 11.7943 4680.0 0.6
"Kepler-379 c" Kepler "TIC 184167421" 2.22 "" 62.7847 517.0 "" 0.0311 4.8316 12.341 12.959 6255.0 1.12
"Kepler-1177 b" Kepler "TIC 399826020" 2.2 "" 106.249 397.0 "" 0.0439 13.6667 13.35 14.0312 5952.0 1.0
"Kepler-1188 b" Kepler "TIC 164460740" 2.3 "" 17.13756 765.0 "" 0.043 7.037 13.921 14.5294 6195.0 1.05
"Kepler-49 e" Kepler "TIC 137555411" 1.97 "" 18.59622 387.0 "" 0.0759 2.8905 13.184 14.3807 4069.0 0.53
"Kepler-1197 b" Kepler "TIC 63004645" 1.13 "" 2.032317 998.0 "" 0.0257 1.1327 13.47 14.4234 4661.0 0.64
"Kepler-26 b" Kepler "TIC 164833065" 3.08 "" 12.283078 501.0 "" 0.2864 2.8563 13.408 14.5837 4486.0 0.58
"Kepler-1309 b" Kepler "TIC 171098231" 2.1 "" 28.84179 487.0 "" 0.076 2.4813 14.141 15.5302 5142.0 0.77
"Kepler-128 b" Kepler "TIC 123490545" 1.13 "" 15.09205 940.0 "" 0.005 4.1385 10.373 10.9149 6090.0 1.55
"Kepler-128 c" Kepler "TIC 123490545" 1.13 "" 22.79519 820.0 "" 0.0052 5.0921 10.373 10.9149 6090.0 1.55
"Kepler-399 b" Kepler "TIC 172373693" 1.39 "" 14.42516 668.0 "" 0.0226 3.7564 13.175 13.9919 5613.0 0.82
"Kepler-399 c" Kepler "TIC 172373693" 2.4 "" 26.67568 544.0 "" 0.0487 2.8578 13.175 13.9919 5613.0 0.82
"Kepler-401 b" Kepler "TIC 267746315" 1.75 "" 14.38337 966.0 "" 0.0153 8.4283 12.277 12.883 6362.0 1.46
"Kepler-1693 b" Kepler "TIC 406948151" 1.1 "" 12.10001 723.0 "" 0.0178 3.4149 13.527 14.2398 5677.0 0.84
"Kepler-962 b" Kepler "TIC 271546798" 1.59 "" 12.05707239 652.0 "" 0.05198 2.2598 12.331 13.0446 5408.0 0.7
"Kepler-963 b" Kepler "TIC 272605867" 2.89 "" 9.97683705 802.0 "" 0.09922 3.419 13.652 14.3642 5500.0 0.93
"Kepler-1672 b" Kepler "TIC 170236331" 3.16 "" 150.8779906 411.0 "" 0.06509 8.6405 11.387 11.9857 6192.0 1.23
"Kepler-965 b" Kepler "TIC 274118253" 2.42 "" 134.2527298 340.0 "" 0.08478 9.105 12.298 12.8902 5973.0 0.83
"Kepler-967 c" Kepler "TIC 120962548" 2.86 "" 198.7112502 236.0 "" 0.21708 8.5374 12.991 13.8681 5080.0 0.63
"Kepler-984 b" Kepler "TIC 272837755" 3.01 "" 43.0342272 594.0 "" 0.0509 6.0726 12.247 12.9591 5650.0 1.34
"Kepler-990 b" Kepler "TIC 273591945" 2.25 "" 9.91723428 847.0 "" 0.04778 3.2597 13.362 14.003 5953.0 0.93
"Kepler-1006 b" Kepler "TIC 271960115" 2.46 "" 19.76172042 791.0 "" 0.03959 3.5906 13.053 13.898 6327.0 1.18
"Kepler-1008 b" Kepler "TIC 272491981" 2.83 "" 12.43931193 927.0 "" 0.02821 3.121 11.93 12.783 5108.0 1.73
"Kepler-332 c" Kepler "TIC 158272257" 1.3 "" 15.9956114 619.0 "" 0.02308 3.312 12.558 13.4066 5141.0 0.86
"Kepler-1690 b" Kepler "TIC 121462999" 2.51 "" 234.635379 273.0 "" 0.09263 6.897 13.413 14.1301 5735.0 0.83
"Kepler-1345 b" Kepler "TIC 63288941" 2.17 "" 44.6169557 693.0 "" 0.02272 7.632 12.802 13.3496 6763.0 1.42
"Kepler-1363 b" Kepler "TIC 27990682" 1.29 "" 2.94194094 988.0 "" 0.03083 2.0333 13.665 14.6239 4901.0 0.76
"Kepler-1367 b" Kepler "TIC 158731868" 0.85 "" 1.57409027 869.0 "" 0.02547 1.5994 13.513 14.7171 3954.0 0.55
"Kepler-1693 b" Kepler "TIC 406948151" 1.12 "" 12.09997831 729.0 "" 0.01742 3.358 13.527 14.2398 5693.0 0.86
"Kepler-178 b" Kepler "TIC 158394235" 2.83 "" 9.57666498 881.0 "" 0.07516 3.3468 13.28 14.072 5675.0 1.04
"Kepler-589 b" Kepler "TIC 123129910" 2.52 "" 16.54964934 656.0 "" 0.07869 4.0043 13.323 14.1144 5372.0 0.92
"Kepler-182 c" Kepler "TIC 267672183" 3.69 "" 20.68422311 742.0 "" 0.09528 6.4615 13.836 14.4356 6215.0 1.15
"Kepler-183 c" Kepler "TIC 138214374" 2.39 "" 11.63701734 791.0 "" 0.06473 3.35 13.726 14.4099 5888.0 0.94
"Kepler-186 e" Kepler "TIC 268159861" 1.26 "" 22.40777444 322.0 "" 0.07089 3.3199 12.473 13.6403 3761.0 0.46
"Kepler-613 b" Kepler "TIC 164407908" 2.19 "" 15.77979614 713.0 "" 0.05815 4.0334 13.483 14.117 5941.0 0.91
"K2-319 b" K2 "TIC 301540319" 2.79 "" 26.68 641.0 "" 0.083 "" 10.705 11.4131 5440.0 0.9
"TOI-763 c" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 178819686" 2.63 9.32 12.2737 800.0 2.82 "" "" 8.858 9.5275 5450.0 0.9
"HD 136352 b" "La Silla Observatory" "TIC 136916387" 1.482 4.62 11.57779 911.0 7.8 0.018 3.936 4.308 5.0494 5850.0 1.01
"TOI-776 b" "Transiting Exoplanet Survey Satellite (TESS)" "TIC 306996324" 1.85 4.0 8.24661 514.0 3.4 0.1063 2.41 8.483 9.73597 3709.0 0.54
"Kepler-515 b" Kepler "TIC 406997913" 1.43 "" 19.96359 672.0 "" 0.0244 3.2435 11.295 12.058 5780.0 1.0
"Kepler-517 b" Kepler "TIC 138297129" 3.12 "" 60.9292 462.0 "" 0.075 6.6005 11.02 11.6682 5598.0 1.03
"Kepler-519 b" Kepler "TIC 171971913" 2.29 "" 24.307983 555.0 "" 0.0681 2.6209 11.258 12.0699 5407.0 0.87
"Kepler-1428 b" Kepler "TIC 28234022" 1.26 "" 10.676126 871.0 "" 0.0154 4.6965 12.416 13.0708 5952.0 1.05
"Kepler-137 b" Kepler "TIC 123415819" 1.61 "" 8.436404 778.0 "" 0.0357 3.2241 11.65 12.4081 5348.0 0.86
"Kepler-138 d" Kepler "TIC 159376971" 2.06 "" 23.089447 376.0 "" 0.0619 2.0012 10.293 11.5177 3900.0 0.61
"Kepler-523 b" Kepler "TIC 164654277" 2.17 "" 5.835973 915.0 "" 0.054 2.0772 11.283 11.9782 5527.0 0.89
"Kepler-527 b" Kepler "TIC 159642269" 2.5 "" 13.285388 912.0 "" 0.0393 6.2576 12.424 12.9637 6538.0 1.17
"Kepler-530 b" Kepler "TIC 48305629" 3.8 "" 39.30924 588.0 "" 0.1123 5.7999 12.303 12.9454 5984.0 1.12
"Kepler-534 b" Kepler "TIC 27847148" 2.36 "" 15.959946 748.0 "" 0.0481 4.35 12.063 12.7883 5935.0 1.04
"Kepler-145 b" Kepler "TIC 159721091" 2.65 "" 22.95036 902.0 "" 0.0123 4.7683 10.913 11.4853 6022.0 1.98
"Kepler-163 b" Kepler "TIC 271355638" 1.04 "" 7.81101 847.0 "" 0.0135 3.3728 13.194 13.8769 5736.0 0.85
"Kepler-349 c" Kepler "TIC 270615037" 1.97 "" 12.24764145 775.0 "" 0.04697 3.3744 13.584 14.2581 5941.0 0.91
"Kepler-350 c" Kepler "TIC 120498491" 2.45 "" 17.84848082 838.0 "" 0.03816 5.5119 12.718 13.3257 6217.0 1.25
"Kepler-1062 b" Kepler "TIC 120043084" 1.64 "" 9.30412078 583.0 "" 0.06586 1.8914 13.025 14.0665 4458.0 0.66
"Kepler-355 c" Kepler "TIC 279915745" 2.83 "" 25.7624524 662.0 "" 0.06737 6.895 14.007 14.6144 6184.0 1.04
"Kepler-1073 b" Kepler "TIC 138568416" 1.95 "" 8.67888593 816.0 "" 0.05541 3.4818 13.332 14.032 5741.0 0.83
"Kepler-1076 b" Kepler "TIC 399955825" 0.81 "" 6.14727918 770.0 "" 0.01258 2.7627 11.305 12.3078 4996.0 0.75
"Kepler-358 c" Kepler "TIC 26815908" 3.39 "" 83.4886218 411.0 "" 0.10428 6.485 14.106 14.8598 5910.0 0.94
"Kepler-417 c" Kepler "TIC 270705374" 2.7 "" 15.94251522 616.0 "" 0.11648 3.4926 14.426 15.2803 5376.0 0.81
"Kepler-1112 b" Kepler "TIC 272841734" 2.55 "" 14.36267939 935.0 "" 0.03784 4.6255 13.688 14.1915 6661.0 1.29
"Kepler-1144 b" Kepler "TIC 159226202" 1.81 "" 17.14647302 686.0 "" 0.04467 3.841 13.818 14.4496 5978.0 0.85
"Kepler-215 e" Kepler "TIC 271352188" 1.75 "" 68.1613598 460.0 "" 0.02905 5.705 12.417 13.0877 5741.0 1.01
"Kepler-653 b" Kepler "TIC 123445166" 1.75 "" 14.70748976 753.0 "" 0.02657 3.1584 12.194 12.8615 5665.0 1.09
"Kepler-221 e" Kepler "TIC 272601375" 2.43 "" 18.3697231 577.0 "" 0.10756 2.219 12.413 13.1969 5280.0 0.75
"Kepler-653 b" Kepler "TIC 123445166" 1.75 "" 14.70748976 753.0 "" 0.02657 3.1584 12.194 12.8615 5665.0 1.09
"Kepler-375 c" Kepler "TIC 299032517" 2.95 "" 19.9866157 629.0 "" 0.07333 4.173 14.536 15.1772 5821.0 0.85
"Kepler-1156 b" Kepler "TIC 158842046" 1.25 "" 11.89520511 812.0 "" 0.01726 3.5 13.05 13.6831 6061.0 0.94
"Kepler-1158 b" Kepler "TIC 137557778" 1.55 "" 13.5396293 952.0 "" 0.01312 4.338 12.548 13.1628 6398.0 1.34
"Kepler-1166 b" Kepler "TIC 406951266" 1.94 "" 33.2406882 563.0 "" 0.03436 4.982 13.223 13.9408 5605.0 1.01
"Kepler-125 c" Kepler "TIC 273873718" 0.85 "" 5.77442209 535.0 "" 0.02653 1.819 12.484 13.7744 3810.0 0.52
"Kepler-379 b" Kepler "TIC 184167421" 1.44 "" 20.0984215 765.0 "" 0.01591 5.176 12.341 12.959 6273.0 1.14
"Kepler-1180 b" Kepler "TIC 271966200" 1.67 "" 16.8601286 765.0 "" 0.02814 5.553 13.887 14.5287 6205.0 0.97
"Kepler-1183 b" Kepler "TIC 137550938" 2.43 "" 28.5057189 555.0 "" 0.07921 6.252 14.493 15.2699 5712.0 0.87
"Kepler-1197 b" Kepler "TIC 63004645" 1.15 "" 2.03231845 975.0 "" 0.03084 1.1214 13.47 14.4234 4555.0 0.64
"Kepler-601 b" Kepler "TIC 351801933" 1.82 "" 5.378901 847.0 "" 0.0519 2.7073 12.647 13.4432 5234.0 0.75
"Kepler-186 d" Kepler "TIC 268159861" 1.81 "" 13.343025 429.0 "" 0.0866 2.9922 12.473 13.6403 4031.0 0.52
"Kepler-189 c" Kepler "TIC 158494327" 2.53 "" 20.13493 531.0 "" 0.1057 3.672 13.408 14.251 5220.0 0.72
"Kepler-189 b" Kepler "TIC 158494327" 1.17 "" 10.40006 664.0 "" 0.0253 3.3977 13.408 14.251 5220.0 0.72
"Kepler-606 b" Kepler "TIC 63286249" 2.6 "" 24.31587 676.0 "" 0.0643 4.214 13.583 14.2132 6230.0 1.03
"Kepler-192 b" Kepler "TIC 158626833" 2.29 "" 9.926733 739.0 "" 0.0731 3.8584 12.892 13.6013 5524.0 0.8
"Kepler-192 c" Kepler "TIC 158626833" 2.08 "" 21.22341 572.0 "" 0.0594 4.7845 12.892 13.6013 5524.0 0.8
"Kepler-615 b" Kepler "TIC 123492903" 2.08 "" 10.355742 580.0 "" 0.067 3.1545 12.646 13.6731 4677.0 0.64
"Kepler-193 b" Kepler "TIC 272496083" 2.46 "" 11.38857 888.0 "" 0.0429 3.8102 13.539 14.1656 6306.0 1.06
"Kepler-26 c" Kepler "TIC 164833065" 2.94 "" 17.251048 449.0 "" 0.1936 2.1911 13.408 14.5837 4486.0 0.58
"Kepler-1210 b" Kepler "TIC 26750065" 1.55 "" 8.07073 868.0 "" 0.0269 3.4331 14.266 15.0466 5791.0 0.9
"Kepler-1212 b" Kepler "TIC 27912642" 1.9 "" 12.9413 806.0 "" 0.0339 4.391 13.872 14.5562 6134.0 0.99
"Kepler-1663 b" Kepler "TIC 407001589" 3.16 "" 17.604437 414.0 "" 0.2218 3.6794 13.418 14.6401 3905.0 0.65
"Kepler-384 b" Kepler "TIC 158114249" 1.18 "" 22.59848 629.0 "" 0.0166 6.3434 12.419 13.0988 5889.0 0.92
"Kepler-384 c" Kepler "TIC 158114249" 1.33 "" 45.347 499.0 "" 0.0163 4.6109 12.419 13.0988 5889.0 0.92
"Kepler-1684 b" Kepler "TIC 270789362" 2.96 "" 47.7087 337.0 "" 0.1221 5.4563 14.117 15.07 4300.0 0.71
"Kepler-1166 b" Kepler "TIC 406951266" 1.94 "" 33.2406882 563.0 "" 0.03436 4.982 13.223 13.9408 5605.0 1.01
"Kepler-376 c" Kepler "TIC 137219378" 1.72 "" 14.17220432 804.0 "" 0.02598 2.529 12.697 13.3032 5906.0 1.07
"Kepler-377 c" Kepler "TIC 184015535" 1.58 "" 27.0141783 626.0 "" 0.02959 5.336 12.801 13.4007 6167.0 0.91
"Kepler-1184 b" Kepler "TIC 159725400" 2.57 "" 53.5991044 529.0 "" 0.05697 6.662 13.866 14.498 6319.0 1.03
"Kepler-430 c" Kepler "TIC 26748113" 1.48 "" 110.97378 423.0 "" 0.0143 12.388 12.743 13.3844 5831.0 1.24
"Kepler-126 d" Kepler "TIC 159046962" 2.47 "" 100.2828693 479.0 "" 0.03287 10.7249 9.616 10.1076 6239.0 1.36
"Kepler-1227 b" Kepler "TIC 121113728" 2.16 "" 94.2887577 393.0 "" 0.05273 4.144 12.963 13.6907 5799.0 0.9
"Kepler-1233 b" Kepler "TIC 273131021" 2.36 "" 45.1263042 604.0 "" 0.04056 6.631 13.594 14.2417 6505.0 1.16
